Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5pvJ59i7JxylN8VB24xdMs,"5BtHciL0e0zOP7prIHn3pP","The Diary of Jane - Single Version","Phobia (Explicit Version)","Breaking Benjamin",2006-01-01,200546,62,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,nu metal,post-grunge",0.392,0.965,10,-4.441,0,0.063,0.0000697,0.0427,0.106,0.298,167.094,4
0nLiqZ6A27jJri2VCalIUs,"2ye2Wgw4gimLv2eAKyk1NB","Nothing Else Matters","Metallica","Metallica",1991-08-12,388266,80,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"hard rock,metal,old school thrash,rock,thrash metal",0.553,0.362,4,-11.218,0,0.0263,0.0458,0.00000601,0.075,0.158,142.352,3
4aYLAF6ckQ5ooGGGM7sWAa,"2ye2Wgw4gimLv2eAKyk1NB","The Unforgiven","Metallica","Metallica",1991-08-12,386493,74,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"hard rock,metal,old school thrash,rock,thrash metal",0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4
1aXFBWnnPFRKUN7vuIA5h0,"2ye2Wgw4gimLv2eAKyk1NB","Turn The Page","Garage Inc.","Metallica",1998-01-01,366466,64,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"hard rock,metal,old school thrash,rock,thrash metal",0.426,0.813,8,-3.963,1,0.0318,0.0000194,0.022,0.0937,0.228,149.013,4
13Uvqll8OQDjw3wDweIK9y,"2ye2Wgw4gimLv2eAKyk1NB","The Day That Never Comes","Death Magnetic","Metallica",2008-01-01,476266,65,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"hard rock,metal,old school thrash,rock,thrash metal",0.334,0.982,4,-2.293,0,0.0619,0.0000911,0.149,0.106,0.501,126.883,4
5nekfiTN45vlxG0eNJQQye,"2ye2Wgw4gimLv2eAKyk1NB","Fade To Black - Remastered","Ride The Lightning (Deluxe / Remastered)","Metallica",1984-07-26,417226,69,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"hard rock,metal,old school thrash,rock,thrash metal",0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,4
5JYw0YEDUopuXE7SwFhLqJ,"2RTUTCvo6onsAnheUk3aL9,485uL27bPomh29R4JmQehQ","Landing In London","Seventeen Days","3 Doors Down,Bob Seger",2005,271373,47,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,nu metal,pop rock,post-grunge,album rock,classic rock,country rock,detroit rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.475,0.493,4,-6.848,0,0.0267,0.51,0.00000406,0.116,0.142,147.425,4
3DelzIn0lPwX4PeOJk9zDF,"2RTUTCvo6onsAnheUk3aL9","It's Not My Time","3 Doors Down","3 Doors Down",2008-01-01,241960,59,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,nu metal,pop rock,post-grunge",0.529,0.934,0,-4.808,1,0.0602,0.00153,0.00000516,0.118,0.282,127.962,4
3ZOEytgrvLwQaqXreDs2Jx,"0L8ExT028jH3ddEcZwqJJ5","Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,82,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative rock,funk metal,funk rock,permanent wave",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
5FVd6KXrgO9B3JPmC8OPst,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,88,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
6F6DxQ3XjToEHX1e2KKSbg,"4MVyzYMgTwdP7Z49wAZHx0","Simple Man","Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition)","Lynyrd Skynyrd",1973,357933,59,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",0.461,0.734,1,-9.379,1,0.0374,0.00079,0.00554,0.22,0.423,120.55,4
4yzliHLEEWTOzsrZtj5Aic,"4MVyzYMgTwdP7Z49wAZHx0","Tuesday's Gone","Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition)","Lynyrd Skynyrd",1973,452333,48,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",0.258,0.663,9,-8.25,1,0.0288,0.00618,0.00228,0.0437,0.503,145.894,3
0nkzd3yNniB767zSDDdLZ3,"49bzE5vRBRIota4qeHtQM8","Awake and Alive","Awake","Skillet",2009-08-21,209493,69,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,christian alternative rock,christian music,christian rock",0.434,0.939,4,-2.983,0,0.0593,0.0425,0,0.491,0.569,159.932,4
37CMjUAU8fL6YqZVTplZqZ,"49bzE5vRBRIota4qeHtQM8","The Last Night","Comatose","Skillet",2006-10-03,210786,54,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,christian alternative rock,christian music,christian rock",0.358,0.856,2,-2.934,1,0.0471,0.0253,0,0.233,0.542,169.81,4
5pRElcsPZrgZXkoON2o5Go,"49bzE5vRBRIota4qeHtQM8","Comatose","Comatose","Skillet",2006-10-03,230426,67,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,christian alternative rock,christian music,christian rock",0.359,0.955,4,-2.323,0,0.12,0.00116,0,0.349,0.446,170.033,4
4AVxmpwfXH7p4YyTbg9nS4,"49bzE5vRBRIota4qeHtQM8","Falling Inside the Black","Comatose","Skillet",2006-10-03,210026,60,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"alternative metal,christian alternative rock,christian music,christian rock",0.501,0.942,4,-3.127,0,0.0905,0.00197,0,0.182,0.461,92.967,4
0M8rrUcBYXa24y3AIKQ19z,"2FcC4sDMXme2ziI7tGKMK8","Comfortably Numb - Live At Pompeii 2016","Live At Pompeii","David Gilmour",2017-09-29,599840,53,spotify:user:eqfo3r1zr6kqqappqoc93q8zq,2021-07-06T04:01:25Z,"album rock,art rock,blues rock,classic rock,progressive rock,symphonic rock",0.211,0.641,11,-10.24,0,0.0495,0.026,0.00382,0.754,0.251,127.142,4
