"X","title","artist","year","spotify_id","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
0,"As It Was","Harry Styles",2022,"4LRPiXqCikLlN15c3yImP7",0,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,0,0
1,"About Damn Time","Lizzo",2022,"1PckUlxKqWQs3RlWXVBLw3",0,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,191822,4,0,0
2,"First Class","Jack Harlow",2022,"0wHFktze2PHC5jDt3B17DC",0,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4,0,0
3,"Running Up That Hill (A Deal With God)","Kate Bush",2022,"29d0nY7TzCoi22XBqDQkiP",0,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,300840,4,0,0
4,"Wait For U","Future Featuring Drake & Tems",2022,"59nOXPmaKlBfGMDeOVGrIK",0,0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,4,0,0
5,"Jimmy Cooks","Drake Featuring 21 Savage",2022,"3F5CgOj3wFlRv51JsHbxhe",0,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,0,0
6,"Me Porto Bonito","Bad Bunny & Chencho Corleone",2022,"6Sq7ltF9Qa7SNFBsV5Cogx",0,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4,0,0
7,"Heat Waves","Glass Animals",2022,"02MWAaffLxlfxAUY7c5dvx",0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,0,0
8,"Break My Soul","Beyonce",2022,"5pyoxDZ1PX0KxBxiRVxA4U",0,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,278282,4,0,0
9,"Big Energy","Latto",2022,"6Zu3aw7FfjAF9WA0fA81Oq",0,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,173182,4,0,0
10,"Titi Me Pregunto","Bad Bunny",2022,"1IHWl5LamUGEuP4ozKQSXZ",0,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,0,0
11,"Wasted On You","Morgan Wallen",2022,"3cBsEDNhFI9E82vPj3kvi3",0,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196,178520,3,0,0
12,"Hot Shit","Cardi B, Ye & Lil Durk",2022,"3uJFmluXzYedoJcvhpC1AW",0,0.878,0.685,9,-5.28,1,0.225,0.00152,0,0.0753,0.523,157.003,211649,4,0,0
13,"Glimpse Of Us","Joji",2022,"6xGruZOHLs39ZbVccQTuPZ",0,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3,0,0
14,"Late Night Talking","Harry Styles",2022,"1qEmFfgcLObUfQm0j1W2CK",0,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,177955,4,0,0
15,"Stay","The Kid LAROI & Justin Bieber",2022,"5HCyWlXZPP0y6Gqq8TgA20",0,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4,0,0
16,"I Like You (A Happier Song)","Post Malone Featuring Doja Cat",2022,"0O6u0VJ46W86TxN9wgyqDj",0,0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,192841,4,0,0
17,"Numb Little Bug","Em Beihold",2022,"3o9kpgkIcffx0iSwxhuNI2",0,0.742,0.527,8,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974,169238,4,0,0
18,"The Kind Of Love We Make","Luke Combs",2022,"28n8z9IQKyjMPxmvYMBqZa",0,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4,0,0
19,"Sunroof","Nicky Youre & dazy",2022,"4h4QlmocP3IuwYEj2j14p8",0,0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,163026,4,0,0
20,"Get Into It (Yuh)","Doja Cat",2022,"0W6I02J9xcqK8MtSeosEXb",0,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,4,0,0
21,"Ghost","Justin Bieber",2022,"6I3mqTwhRpn34SLVafSH7G",0,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4,0,0
22,"Boyfriend","Dove Cameron",2022,"59CfNbkERJ3NoTXDvoURjj",0,0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,153000,3,0,0
23,"Sticky","Drake",2022,"4rmVZajAF7PkrCagGPHbqa",0,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,243228,4,0,0
24,"Bad Habits","Ed Sheeran",2022,"3rmo8F54jFF8OgYsqTxm5d",0,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4,0,0
25,"Moscow Mule","Bad Bunny",2022,"6Xom58OOXk2SoU711L2IXO",0,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4,0,0
26,"Like I Love Country Music","Kane Brown",2022,"3j1xkzTW8owIphkWV51V9s",0,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.702,124.85,234341,4,0,0
27,"You Proof","Morgan Wallen",2022,"5uU1uuyaUIBOiiUSQG7Wl3",0,0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,0.644,119.706,157478,4,0,0
28,"Cold Heart (PNAU Remix)","Elton John & Dua Lipa",2022,"6zSpb8dQRaw0M1dK8PBwQz",0,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4,0,0
29,"Enemy","Imagine Dragons X JID",2022,"4qXKkOZ691yYgQu4Lunrds",0,0.724,0.782,2,-4.437,1,0.289,0.21,0,0.44,0.528,76.984,173381,4,0,0
30,"Vegas","Doja Cat",2022,"0hquQWY3xvYqN4qtiquniF",0,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907,4,0,0
31,"Woman","Doja Cat",2022,"6Uj1ctrBOjOas8xZXGqKk4",0,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,0,0
32,"She Had Me At Heads Carolina","Cole Swindell",2022,"200x8ONbPfFzByUr3fVz46",0,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,206107,4,0,0
33,"Shivers","Ed Sheeran",2022,"50nfwKoDiSYg8zOCREWAm5",0,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,0,0
34,"Super Gremlin","Kodak Black",2022,"4A8cWXxKfIL3lAyUDzXbCF",0,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,200548,4,0,0
35,"Provenza","Karol G",2022,"7dSZ6zGTQx66c2GF91xCrb",0,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4,0,0
36,"Something In The Orange","Zach Bryan",2022,"3WMj8moIAXJhHsyLaqIIHI",0,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,0,0
37,"Damn Strait","Scotty McCreery",2022,"4jp9FimhP2bQ93vR0A5r7b",0,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,230227,4,0,0
38,"Take My Name","Parmalee",2022,"2afB4eV1KWBqLqFqME6PTh",0,0.559,0.66,7,-4.143,1,0.0512,0.222,0,0.193,0.574,163.957,157907,4,0,0
39,"Master Of Puppets","Metallica",2022,"54bm2e3tk8cliUz3VSdCPZ",0,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,0,0
40,"Thats What I Want","Lil Nas X",2022,"0e8nrvls4Qqv5Rfa2UhqmO",0,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,143901,4,0,0
41,"Efecto","Bad Bunny",2022,"5Eax0qFko2dh7Rl2lYs3bx",0,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4,0,0
42,"Fall In Love","Bailey Zimmerman",2022,"5gVCfYmQRPy1QJifP8f5gg",0,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,232059,4,0,0
43,"I Ain't Worried","OneRepublic",2022,"4h9wh7iOZ0GGn8QVp4RAOB",0,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,0,0
44,"In A Minute","Lil Baby",2022,"3ihIZrJreMJPjQdNLrEXnP",0,0.643,0.605,4,-5.968,0,0.297,0.0336,0,0.112,0.145,84.216,200471,4,0,0
45,"Sweetest Pie","Megan Thee Stallion & Dua Lipa",2022,"7mFj0LlWtEJaEigguaWqYh",0,0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977,201334,4,0,0
46,"Left And Right","Charlie Puth Featuring Jung Kook",2022,"0mBP9X2gPCuapvpZ7TGDk3",0,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4,0,0
47,"2step","Ed Sheeran Featuring Lil Baby",2022,"4Iz3vYtWDDbeU4ZG34SK44",0,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,163450,4,0,0
48,"Thousand Miles","The Kid LAROI",2022,"1r8ZCjfrQxoy2wVaBUbpwg",0,0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565,164782,4,0,0
49,"Despues de La Playa","Bad Bunny",2022,"1dm6z1fWB0cErMszU25dy2",0,0.564,0.903,5,-3.221,1,0.307,0.356,0,0.175,0.607,78.293,230400,4,0,0
50,"Trouble With A Heartbreak","Jason Aldean",2022,"3HO30hRbkOLU6ZWERayfQO",0,0.582,0.797,5,-4.926,1,0.0334,0.23,0,0.132,0.595,135.973,196027,4,0,0
51,"Party","Bad Bunny & Rauw Alejandro",2022,"4tYFy8ALRjIZvnvSLw5lxN",0,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,4,0,0
52,"What Happened To Virgil","Lil Durk Featuring Gunna",2022,"7ohROa13QK43JBRqfCmz4P",0,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,181393,4,0,0
53,"Rock And A Hard Place","Bailey Zimmerman",2022,"4686eQ81DEswHa90bcdlC9",0,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,207541,3,0,0
54,"Sleazy Flow","SleazyWorld Go Featuring Lil Baby",2022,"5cx7vkF8BQ0iOsVpfvZbnz",0,0.869,0.298,2,-12.076,1,0.386,0.2,0,0.0753,0.178,77.47,161355,4,0,0
55,"Massive","Drake",2022,"28JBD8p18xNuOfyV7Cotdn",0,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,336924,3,0,0
56,"Ojitos Lindos","Bad Bunny & Bomba Estereo",2022,"3k3NWokhRRkEPhCzPmV8TW",0,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4,0,0
57,"Puffin On Zootiez","Future",2022,"1qMMYpVatbRITKCfq1gasi",0,0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,172933,4,0,0
58,"Cooped Up","Post Malone Featuring Roddy Ricch",2022,"6Ole34qqbgkZ60IyrcVm7e",0,0.727,0.839,2,-4.781,1,0.184,0.01,3.63e-06,0.177,0.338,95.485,127253,4,0,0
59,"When You're Gone","Shawn Mendes",2022,"0U1W2LZVUX7qTm7dDpqxh6",0,0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,0.577,147.148,172267,4,0,0
60,"5 Foot 9","Tyler Hubbard",2022,"6AqwH2Y9FJwhUE2dCSkw1u",0,0.602,0.796,5,-5.609,1,0.0465,0.146,0,0.125,0.53,106.005,189780,4,0,0
61,"Last Night Lonely","Jon Pardi",2022,"3SeeaIXnrCfT88vHVCRWHl",0,0.646,0.816,6,-2.65,1,0.0269,0.00496,0,0.179,0.865,102.972,181991,4,0,0
62,"Bam Bam","Camila Cabello Featuring Ed Sheeran",2022,"0QBzMgT7NIeoCYy3sJCof1",0,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,206071,4,0,0
63,"Tarot","Bad Bunny & Jhay Cortez",2022,"41oY4WCTj5kccfesTVFnvN",0,0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011,237895,4,0,0
64,"Hold My Hand","Lady Gaga",2022,"0oWraSo5ASJ0h1BEagTyEw",0,0.519,0.617,7,-4.287,1,0.0313,0.0387,0,0.401,0.222,147.708,225300,3,0,0
65,"Silent Hill","Kendrick Lamar & Kodak Black",2022,"3lzUeaCbcCDB5IXYfqWRlF",0,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779,4,0,0
