,word,count
0,alright,1
1,and,2
2,another,1
3,around,1
4,bad,1
5,black,1
6,block,1
7,booty,1
8,cash,1
9,cause,1
10,clap,1
11,club,1
12,crew,1
13,cup,1
14,dat,3
15,day,1
16,devilish,1
17,doe,1
18,domino,1
19,down,3
20,drano,1
21,drink,1
22,every,1
23,everybody,8
24,everyday,2
25,fast,1
26,feel,1
27,feelin,1
28,feeling,1
29,fill,1
30,first,1
31,flow,1
32,fuf,1
33,fullin,1
34,gain,1
35,get,15
36,gettin,1
37,girl,2
38,go,3
39,gon,5
40,good,10
41,got,1
42,gots,1
43,half,2
44,halo,1
45,hands,18
46,hatin,1
47,hey,1
48,hoes,1
49,home,1
50,house,5
51,huh,1
52,jeans,1
53,jock,1
54,know,1
55,led,1
56,let,3
57,like,2
58,lookin,1
59,lose,5
60,mad,1
61,make,6
62,man,1
63,me,1
64,mess,1
65,mind,5
66,money,2
67,movin,1
68,naked,1
69,non,1
70,oh,5
71,one,1
72,op,1
73,party,8
74,please,1
75,put,24
76,reppin,1
77,right,1
78,rise,1
79,rock,10
80,roll,2
81,round,1
82,runnin,1
83,see,3
84,shake,4
85,shot,1
86,shuff,1
87,shufflin,4
88,sound,7
89,spot,1
90,step,1
91,stop,2
92,tattoo,1
93,that,1
94,throw,1
95,tight,1
96,time,8
97,tonight,5
98,top,1
99,up,17
100,us,1
101,wanna,3
102,way,1
103,white,1
104,whoo,8
105,ya,3
106,yeah,7
107,yo,1
108,your,6
109,zeppelin,1
110,alright,1
111,and,2
112,another,1
113,around,1
114,bad,1
115,black,1
116,block,1
117,booty,1
118,cash,1
119,cause,1
120,clap,1
121,club,1
122,crew,1
123,cup,1
124,dat,3
125,day,1
126,devilish,1
127,doe,1
128,domino,1
129,down,3
130,drano,1
131,drink,1
132,every,1
133,everybody,8
134,everyday,2
135,fast,1
136,feel,1
137,feelin,1
138,feeling,1
139,fill,1
140,first,1
141,flow,1
142,fuf,1
143,fullin,1
144,gain,1
145,get,15
146,gettin,1
147,girl,2
148,go,3
149,gon,5
150,good,10
151,got,1
152,gots,1
153,half,2
154,halo,1
155,hands,18
156,hatin,1
157,hey,1
158,hoes,1
159,home,1
160,house,5
161,huh,1
162,jeans,1
163,jock,1
164,know,1
165,led,1
166,let,3
167,like,2
168,lookin,1
169,lose,5
170,mad,1
171,make,6
172,man,1
173,me,1
174,mess,1
175,mind,5
176,money,2
177,movin,1
178,naked,1
179,non,1
180,oh,5
181,one,1
182,op,1
183,party,8
184,please,1
185,put,24
186,reppin,1
187,right,1
188,rise,1
189,rock,10
190,roll,2
191,round,1
192,runnin,1
193,see,3
194,shake,4
195,shot,1
196,shuff,1
197,shufflin,4
198,sound,7
199,spot,1
200,step,1
201,stop,2
202,tattoo,1
203,that,1
204,throw,1
205,tight,1
206,time,8
207,tonight,5
208,top,1
209,up,17
210,us,1
211,wanna,3
212,way,1
213,white,1
214,whoo,8
215,ya,3
216,yeah,7
217,yo,1
218,your,6
219,zeppelin,1
220,across,3
221,again,1
222,ah,18
223,already,1
224,always,1
225,awe,9
226,baby,6
227,bag,1
228,blow,1
229,bolt,1
230,boom,9
231,brighter,3
232,buried,1
233,burst,3
234,cannot,1
235,cards,1
236,cause,4
237,caving,1
238,chance,1
239,closed,1
240,colors,3
241,come,6
242,comes,1
243,could,1
244,deep,1
245,doors,1
246,drifting,1
247,em,12
248,even,3
249,ever,3
250,feel,5
251,feet,1
252,firework,6
253,fourth,2
254,future,1
255,glow,1
256,go,6
257,gonna,3
258,gotta,2
259,hear,1
260,heart,1
261,holds,1
262,house,1
263,hurricane,1
264,ignite,2
265,in,1
266,inside,1
267,july,2
268,knew,1
269,know,2
270,leads,1
271,leave,3
272,let,6
273,light,2
274,lightning,1
275,like,6
276,make,6
277,maybe,1
278,moon,9
279,night,2
280,on,6
281,one,3
282,open,1
283,original,1
284,paper,1
285,perfect,1
286,plastic,1
287,rainbow,1
288,reason,1
289,replaced,1
290,road,1
291,screams,1
292,seems,1
293,shine,2
294,shoot,3
295,show,3
296,six,1
297,sky,3
298,space,1
299,spark,1
300,start,1
301,still,1
302,there,2
303,thin,1
304,thing,1
305,time,2
306,wanting,1
307,waste,1
308,wind,1
309,worth,3
310,you,3
311,abduction,3
312,afraid,1
313,alien,4
314,angel,1
315,another,1
316,be,1
317,body,1
318,boy,5
319,cosmic,1
320,could,2
321,devil,1
322,different,3
323,dimension,2
324,dna,1
325,every,1
326,extraterrestrial,6
327,eyes,2
328,feel,1
329,feels,1
330,fill,3
331,floating,1
332,foreign,4
333,futuristic,1
334,glowing,1
335,go,2
336,hypnotizing,1
337,infect,3
338,ki,6
339,kiss,7
340,lasers,1
341,lead,2
342,leaves,1
343,level,1
344,light,2
345,like,2
346,ll,1
347,love,3
348,lover,1
349,lucky,1
350,magic,1
351,magnetizing,1
352,me,6
353,move,1
354,open,2
355,others,1
356,poison,3
357,power,1
358,ready,5
359,risk,1
360,say,1
361,star,1
362,stun,1
363,supernatural,4
364,supersonic,1
365,ta,6
366,take,6
367,touch,5
368,transcendental,1
369,understand,1
370,vibrate,1
371,victim,3
372,walk,1
373,wanna,5
374,wavelength,1
375,whole,2
376,world,2
377,advantage,1
378,ain,1
379,all,1
380,american,1
381,baby,9
382,better,1
383,blowin,1
384,can,2
385,care,3
386,cause,5
387,could,3
388,cuba,1
389,dale,2
390,deeper,1
391,drink,3
392,dubai,1
393,em,4
394,endless,1
395,enjoy,1
396,enough,3
397,everything,15
398,excuse,3
399,fall,2
400,family,1
401,feel,5
402,flowin,1
403,games,3
404,get,6
405,gettin,1
406,girl,1
407,give,15
408,go,1
409,gon,1
410,good,3
411,got,1
412,grab,4
413,growin,1
414,ha,2
415,handle,3
416,hard,1
417,hey,18
418,home,3
419,hustlers,1
420,idol,1
421,insane,1
422,involved,1
423,keep,2
424,know,4
425,kodak,2
426,least,1
427,let,7
428,life,4
429,like,2
430,lindsay,1
431,little,3
432,ll,2
433,locked,1
434,lohan,1
435,love,4
436,make,7
437,mason,1
438,might,12
439,mma,3
440,money,2
441,move,1
442,name,1
443,nayer,4
444,ne,7
445,negative,1
446,nothing,3
447,perform,1
448,picture,2
449,pitbull,5
450,play,3
451,positive,1
452,princess,1
453,promise,4
454,put,2
455,queen,1
456,reach,1
457,right,4
458,say,3
459,seacrest,1
460,secret,1
461,sexy,3
462,silence,1
463,slip,1
464,somebody,3
465,square,1
466,stars,1
467,stay,3
468,take,5
469,tell,3
470,thank,1
471,that,1
472,till,3
473,times,1
474,tip,1
475,toein,1
476,tomorrow,9
477,tonight,47
478,took,1
479,top,2
480,want,13
481,way,1
482,working,1
483,world,1
484,yeah,1
485,yet,1
486,yo,7
487,all,1
488,anything,3
489,asked,2
490,baby,4
491,back,1
492,bad,1
493,beat,1
494,black,3
495,blade,3
496,blue,1
497,body,1
498,brain,3
499,brakes,1
500,bullet,3
501,burn,1
502,car,1
503,catch,3
504,cause,3
505,come,1
506,darling,1
507,devil,1
508,did,1
509,die,3
510,easy,2
511,ever,4
512,eyes,1
513,face,1
514,fire,1
515,first,1
516,flames,1
517,front,3
518,gave,2
519,get,1
520,give,3
521,go,4
522,grenade,3
523,hand,3
524,hey,1
525,jump,3
526,kiss,1
527,know,3
528,known,1
529,liar,1
530,live,1
531,love,2
532,loved,1
533,mad,1
534,me,1
535,never,3
536,no,7
537,numb,1
538,oh,4
539,ooh,2
540,open,2
541,pain,3
542,rip,1
543,said,2
544,smile,1
545,still,1
546,straight,3
547,take,6
548,tell,1
549,that,2
550,throw,3
551,till,1
552,tossed,4
553,train,3
554,trash,4
555,trouble,1
556,understand,2
557,watch,1
558,wide,1
559,woman,2
560,would,6
561,ya,13
562,yeah,37
563,yes,4
564,you,2
565,afford,1
566,ain,10
567,although,4
568,ass,2
569,atari,1
570,baby,3
571,bad,4
572,beg,1
573,best,4
574,borrow,1
575,box,1
576,boyfriend,1
577,can,2
578,cause,1
579,change,4
580,cheap,1
581,cheat,1
582,chest,4
583,dad,4
584,digger,2
585,driving,4
586,enough,4
587,fair,1
588,falls,2
589,ferrari,1
590,fool,2
591,fuck,16
592,game,1
593,get,1
594,girl,4
595,go,1
596,gold,2
597,got,2
598,guess,5
599,ha,4
600,hate,1
601,he,1
602,hurt,1
603,if,4
604,just,2
605,keep,1
606,know,3
607,lady,1
608,lie,1
609,like,7
610,little,1
611,love,9
612,mama,1
613,me,1
614,mean,1
615,mmm,1
616,news,2
617,nigga,2
618,oh,8
619,oho,1
620,one,1
621,oooh,25
622,ooohooohooo,2
623,pain,4
624,pity,2
625,play,1
626,please,1
