Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1DOuZaf52j4O1zlyQpxSQx,"4iBwchw0U0GZv5RfVYSMxN,715OI7hiv58daVlEDXM47U","Consciousness","Consciousness","Anyma,Chris Avantgarde",2022-05-18,274551,63,spotify:user:groovebassment,2022-05-23T20:47:19Z,"",0.596,0.837,7,-5.983,0,0.0488,0.0775,0.806,0.297,0.0954,125.93,3
6uYnM3pZBgvEh95lrsqSJS,"6OMAZu0PYOsl3kONOQV9Zk","Somebody To Love","Somebody To Love","Basstrologe",2021-03-12,136195,67,spotify:user:groovebassment,2021-10-29T14:25:12Z,"",0.677,0.872,6,-7.673,1,0.232,0.253,0.0368,0.127,0.197,138.003,4
7K3OyIuvYF1qcwr4xqILeu,"4h8IEOdrg60WM5XGyNOCVU","We Control","We Control","Lilly Palmer",2022-02-25,206625,58,spotify:user:groovebassment,2022-05-08T16:04:34Z,"swiss techno",0.707,0.815,7,-6.2,1,0.147,0.00499,0.828,0.0874,0.148,133.024,4
011dWhYZyNEITebRXv3ARB,"0J1SuwxtHzUbmhRRzHIRlU,0N9WTon1XhGVdAbhsFvZgs","Shiko","Acid Pirate 13","Gehlektek,TakaTuka",2021-02-12,633477,54,spotify:user:groovebassment,2022-03-03T19:42:46Z,"acidcore",0.787,0.644,8,-11.458,1,0.0841,0.221,0.864,0.105,0.507,139.988,4
0qP89hbMRlounSq9QDSK6v,"0xTHDDgrTLK87pC4blqD6j,5FgLkieOqGXPn01dnbJp9Z","The Outsiders - T78 Remix","The Outsiders","Christian Cambas,T78",2018-08-06,313700,55,spotify:user:groovebassment,2021-10-29T14:24:28Z,"greek house,greek techno,dark techno,german dark minimal techno,italian techno,raw techno",0.851,0.904,2,-9.654,1,0.0582,0.00182,0.924,0.112,0.26,126.992,4
17SCJbXeu121LBiittnXTI,"1lJhME1ZpzsEa5M0wW6Mso","Satori","Universal Consciousness EP","Charlotte de Witte",2022-04-27,379653,45,spotify:user:groovebassment,2022-05-08T16:05:16Z,"belgian techno,electra",0.74,0.713,7,-7.828,1,0.0633,0.000105,0.791,0.0993,0.153,136.007,4
7cpYKw9EqeKiro8Wy4pBbV,"2r6S8dhE6TLxyYJndSd345","Gotta Be Big","Gotta Be Big","Disfreq",2022-04-22,194591,38,spotify:user:groovebassment,2022-05-08T16:05:36Z,"",0.799,0.834,0,-7.621,0,0.11,0.0245,0,0.0907,0.745,130.065,4
3cwXKrP3RuQ6vlwvwUMJcZ,"5Hini2nQyoglzpdKe41cZt,4f2K0RSYyxP4TUyZu1azYB,6TVdVlY6irsNPkMHT2HkfD","Control - Original Mix","Control","UMEK,Popof,Space 92",2022-04-29,387807,49,spotify:user:groovebassment,2022-05-08T16:06:30Z,"dark techno,minimal techno,raw techno,slovenian electronic,tech house,techno,french tech house,french techno",0.757,0.918,2,-4.932,1,0.0548,0.00336,0.853,0.255,0.113,129.982,4
3eLUbXrnTn7hws3OVilKNB,"5FgLkieOqGXPn01dnbJp9Z","Twistoid","Hard Drive 10","T78",2018-11-12,426461,14,spotify:user:groovebassment,2019-01-11T19:03:18Z,"dark techno,german dark minimal techno,italian techno,raw techno",0.654,0.698,7,-6.431,1,0.0601,0.00721,0.935,0.106,0.192,130,4
6X6Ow0iioCrYQSK1QDHQbC,"03tes5RhEvH2dX2eDeGnRn,1lJhME1ZpzsEa5M0wW6Mso,1u7DsNFbakULvxnDGtMm90","The Age Of Love - Charlotte de Witte & Enrico Sangiuliano Remix","The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix)","Age Of Love,Charlotte de Witte,Enrico Sangiuliano",2021-08-13,489480,64,spotify:user:groovebassment,2021-10-29T14:25:12Z,"bubble trance,belgian techno,electra,dark techno,italian techno,minimal techno,tech house",0.748,0.909,5,-8.322,0,0.0505,0.0576,0.89,0.0945,0.0617,130,4
